[ RigidInstance : 1 ]
 { GUID:s              Name:s          AnimationResource:s GeometryResource:s Pos:fff                               Ambient:dddd Orient:fff                 Scale:fff                  BBox:ffffff                                                                 HasLOD:d IsLadder:d IsVine:d IsHoistable:d IsLeafPile:d IsAnimating:d IsMovingPlatform:d IsAutoEdgeGrabbable:d DoesNotCollide:d DoesFloat:d FloatYTweak:f LightingType:d AnimSpeed_:f AnimOffset_:f LoopDelay:f Looping:d Interpolate:d Destructible:d DestructibleByNPC:d DestructibleByBilbo:d ContentType:s DestructGeom:s        DestructAnim:s       IsPlant:d PainOnDestroy:d HasPrivData:d HasSurfaceFlags:d DoesCameraColl:d DoesCameraFade:d LightChannels:d ObjectFlags:d ScriptResource:s InitialPos:fff             Orientation:fff            LocalBoundingBox:ffffff                                       ObjSaveFlag:d ObjName:s       IsGoldPile:d IsHidden:d Decals:d IsSqueakyChickenBoard:d 'Surface Type:s' }
   "0D8ADD11_16FC5C01" "Powderkeg 004" ""                  "powderkeg.rgeom"  -5282.379883 -399.440094 -2169.318359 0 0 0 255    0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 -5319.534180 -400.470459 -2206.186279 -5244.634277 -323.759155 -2132.394043 0        0          0        0             0            1             0                  0                     0                0           0.000000      0              1.000000     0.000000      0.000000    0         1             1              1                   1                     "NONE"        "powderkeg_ani.rgeom" "powderkeg_ani.anim" 0         1               1             0                 0                1                1               14760         ""               0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -37.154297 -1.030365 -36.867920 37.745605 75.680939 36.924316 0             "Powderkeg 004" 0            0          0        0                       "Dirt"           
[ VertColors : 438 ]
 { Color:dddd      }
   58 60 71 255    
   51 52 64 255    
   55 57 69 255    
   63 66 78 255    
   43 43 53 255    
   48 48 58 255    
   32 30 39 255    
   37 36 45 255    
   29 28 36 255    
   30 28 36 255    
   28 27 36 255    
   29 28 36 255    
   28 27 36 255    
   32 31 41 255    
   27 26 35 255    
   29 28 36 255    
   44 45 57 255    
   42 43 53 255    
   62 64 76 255    
   59 61 73 255    
   73 76 88 255    
   74 78 89 255    
   76 79 91 255    
   80 84 95 255    
   75 78 89 255    
   79 83 94 255    
   65 67 79 255    
   71 74 86 255    
   48 49 61 255    
   55 57 69 255    
   49 51 63 255    
   47 48 60 255    
   57 60 71 255    
   57 59 71 255    
   64 66 78 255    
   65 67 79 255    
   65 67 79 255    
   68 71 82 255    
   58 60 72 255    
   50 52 64 255    
   55 57 69 255    
   64 67 78 255    
   41 42 52 255    
   46 47 57 255    
   29 28 37 255    
   34 33 43 255    
   29 27 36 255    
   29 27 36 255    
   28 26 35 255    
   29 27 36 255    
   28 26 35 255    
   29 28 38 255    
   26 25 34 255    
   29 27 36 255    
   42 43 55 255    
   39 40 51 255    
   61 64 76 255    
   59 61 73 255    
   74 77 89 255    
   75 78 90 255    
   76 80 91 255    
   81 85 96 255    
   74 78 89 255    
   79 83 94 255    
   63 66 77 255    
   70 73 84 255    
   46 48 59 255    
   53 55 67 255    
   48 50 61 255    
   46 47 59 255    
   57 59 70 255    
   56 58 70 255    
   64 66 78 255    
   65 67 79 255    
   65 68 79 255    
   69 71 83 255    
   66 68 79 255    
   77 78 87 255    
   83 86 97 255    
   74 78 89 255    
   59 59 68 255    
   66 65 72 255    
   46 45 52 255    
   51 48 54 255    
   35 32 39 255    
   40 36 41 255    
   34 32 38 255    
   39 35 40 255    
   38 36 44 255    
   54 52 59 255    
   39 35 40 255    
   34 32 38 255    
   55 55 64 255    
   73 74 82 255    
   72 75 86 255    
   91 95 105 255   
   88 92 104 255   
   105 110 121 255 
   94 99 110 255   
   110 115 127 255 
   94 99 110 255   
   106 111 123 255 
   84 88 99 255    
   91 95 107 255   
   66 69 80 255    
   68 71 83 255    
   55 57 69 255    
   67 70 81 255    
   67 70 81 255    
   79 82 93 255    
   75 78 90 255    
   87 91 102 255   
   79 83 94 255    
   89 93 104 255   
   102 105 112 255 
   94 95 100 255   
   97 98 104 255   
   104 107 116 255 
   84 82 85 255    
   88 87 91 255    
   68 64 66 255    
   74 71 73 255    
   51 45 47 255    
   58 52 54 255    
   55 50 53 255    
   49 44 46 255    
   55 50 53 255    
   75 72 75 255    
   70 67 70 255    
   49 44 46 255    
   95 95 101 255   
   91 90 94 255    
   114 117 125 255 
   112 114 121 255 
   124 129 139 255 
   124 129 138 255 
   127 134 145 255 
   127 133 144 255 
   123 129 140 255 
   126 132 143 255 
   106 112 123 255 
   113 118 129 255 
   88 92 103 255   
   91 96 107 255   
   80 84 95 255    
   84 87 99 255    
   90 94 105 255   
   88 92 103 255   
   98 102 113 255  
   96 101 112 255  
   103 107 117 255 
   102 107 118 255 
   101 103 111 255 
   94 94 100 255   
   96 97 103 255   
   103 106 115 255 
   83 81 85 255    
   88 87 91 255    
   68 64 66 255    
   75 71 73 255    
   50 45 47 255    
   57 52 54 255    
   54 50 52 255    
   49 43 45 255    
   54 50 52 255    
   75 72 76 255    
   70 66 69 255    
   49 43 45 255    
   95 95 101 255   
   91 90 94 255    
   114 117 124 255 
   111 113 120 255 
   122 128 138 255 
   123 127 137 255 
   126 133 144 255 
   126 132 143 255 
   122 128 139 255 
   126 132 143 255 
   106 111 123 255 
   113 118 130 255 
   87 91 102 255   
   91 96 107 255   
   79 82 94 255    
   83 86 98 255    
   90 94 105 255   
   88 92 103 255   
   97 102 113 255  
   96 100 112 255  
   102 106 116 255 
   101 105 117 255 
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   20 20 32 255    
   102 102 107 255 
   98 97 101 255   
   97 96 101 255   
   101 102 107 255 
   98 97 101 255   
   94 93 97 255    
   94 92 96 255    
   97 96 101 255   
   94 93 97 255    
   94 92 95 255    
   93 91 94 255    
   94 92 96 255    
   94 92 95 255    
   93 91 94 255    
   93 91 94 255    
   93 91 94 255    
   93 91 94 255    
   92 90 92 255    
   92 90 92 255    
   93 91 94 255    
   92 90 92 255    
   91 89 91 255    
   91 89 91 255    
   92 90 92 255    
   91 89 91 255    
   88 86 88 255    
   88 86 88 255    
   91 89 91 255    
   88 86 88 255    
   87 84 87 255    
   87 84 87 255    
   88 86 88 255    
   87 84 87 255    
   87 85 88 255    
   87 85 88 255    
   87 84 87 255    
   87 85 88 255    
   89 87 91 255    
   89 87 91 255    
   87 85 88 255    
   89 87 91 255    
   94 93 98 255    
   94 93 97 255    
   89 87 91 255    
   94 93 98 255    
   100 101 106 255 
   100 100 106 255 
