[ RigidInstance : 1 ]
 { GUID:s              Name:s         AnimationResource:s GeometryResource:s Pos:fff                                Ambient:dddd Orient:fff                 Scale:fff                  BBox:ffffff                                                                   HasLOD:d IsLadder:d IsVine:d IsHoistable:d IsLeafPile:d IsAnimating:d IsMovingPlatform:d IsAutoEdgeGrabbable:d DoesNotCollide:d DoesFloat:d FloatYTweak:f LightingType:d AnimSpeed_:f AnimOffset_:f LoopDelay:f Looping:d Interpolate:d Destructible:d DestructibleByNPC:d DestructibleByBilbo:d ContentType:s DestructGeom:s       DestructAnim:s      IsPlant:d PainOnDestroy:d HasPrivData:d HasSurfaceFlags:d DoesCameraColl:d DoesCameraFade:d LightChannels:d ObjectFlags:d ScriptResource:s InitialPos:fff             Orientation:fff            LocalBoundingBox:ffffff                                       ObjSaveFlag:d ObjName:s      IsGoldPile:d IsHidden:d Decals:d IsSqueakyChickenBoard:d 'Surface Type:s' }
   "CA3DDFCE_A2AC9000" "BreakableJar" ""                  "jar.rgeom"        -1788.160767 -1866.414307 -7243.385742 0 0 0 255    0.000000 0.000000 0.000000 1.000000 1.000000 1.000000 -1803.826782 -1868.160645 -7259.051758 -1772.494751 -1813.762939 -7227.719727 0        0          0        0             0            0             0                  0                     0                0           0.000000      0              1.000000     0.000000      0.000000    0         1             1              1                   1                     "Nails"       "jar_destruct.rgeom" "jar_destruct.anim" 0         0               1             0                 0                1                1               10664         ""               0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -15.666016 -1.746338 -15.666016 15.666016 52.651367 15.666016 0             "BreakableJar" 0            0          0        0                       "Dirt"           
[ VertColors : 108 ]
 { Color:dddd      }
   36 27 38 255    
   36 27 38 255    
   36 27 38 255    
   85 74 77 255    
   153 140 130 255 
   239 223 199 255 
   255 255 255 255 
   255 255 255 255 
   255 255 255 255 
   255 255 237 255 
   255 255 255 255 
   255 255 255 255 
   255 255 237 255 
   163 149 139 255 
   248 231 203 255 
   248 231 203 255 
   163 149 139 255 
   223 207 187 255 
   255 255 254 255 
   255 255 255 255 
   255 255 255 255 
   107 89 106 255  
   96 80 92 255    
   255 254 227 255 
   46 36 46 255    
   56 45 56 255    
   100 87 91 255   
   192 175 165 255 
   154 138 134 255 
   154 138 134 255 
   60 48 59 255    
   60 48 59 255    
   84 72 79 255    
   190 174 164 255 
   207 190 172 255 
   255 254 227 255 
   64 52 63 255    
   46 36 46 255    
   97 81 93 255    
   56 45 56 255    
   113 95 109 255  
   100 87 91 255   
   104 86 101 255  
   192 175 165 255 
   111 93 108 255  
   154 138 134 255 
   154 138 134 255 
   111 93 108 255  
   107 90 103 255  
   60 48 59 255    
   60 48 59 255    
   107 90 103 255  
   113 95 108 255  
   84 72 79 255    
   102 85 99 255   
   190 174 164 255 
   207 190 172 255 
   255 255 255 255 
   255 254 227 255 
   66 53 65 255    
   104 87 102 255  
   124 104 121 255 
   113 95 112 255  
   119 99 117 255  
   119 99 117 255  
   118 99 115 255  
   118 99 115 255  
   123 103 120 255 
   119 100 117 255 
   255 255 255 255 
   255 254 227 255 
   45 34 46 255    
   68 54 69 255    
   83 68 84 255    
   93 77 91 255    
   89 74 88 255    
   89 74 88 255    
   79 64 80 255    
   79 64 80 255    
   82 67 84 255    
   94 77 93 255    
   255 255 255 255 
   255 254 227 255 
   36 27 38 255    
   46 37 45 255    
   81 69 72 255    
   186 170 155 255 
   159 144 133 255 
   159 144 133 255 
   62 51 57 255    
   62 51 57 255    
   73 61 65 255    
   139 124 119 255 
   202 185 173 255 
   255 254 227 255 
   36 27 38 255    
   98 87 85 255    
   255 243 211 255 
   255 255 255 255 
   255 255 255 255 
   255 255 255 255 
   181 166 148 255 
   181 166 148 255 
   246 228 199 255 
   255 255 241 255 
   118 100 112 255 
   255 254 227 255 
   255 254 227 255 
